TITLE,URL,CONTENT
Article 111-1,/codes/article_lc/LEGIARTI000006417175,"Les infractions pénales sont classées, suivant leur gravité, en crimes, délits et contraventions."
Article 111-2,/codes/article_lc/LEGIARTI000006417176,"La loi détermine les crimes et délits et fixe les peines applicables à leurs auteurs.
   Le règlement détermine les contraventions et fixe, dans les limites et selon les distinctions établies par la loi, les peines applicables aux contrevenants."
Article 111-3,/codes/article_lc/LEGIARTI000006417177,"Nul ne peut être puni pour un crime ou pour un délit dont les éléments ne sont pas définis par la loi, ou pour une contravention dont les éléments ne sont pas définis par le règlement.
   Nul ne peut être puni d'une peine qui n'est pas prévue par la loi, si l'infraction est un crime ou un délit, ou par le règlement, si l'infraction est une contravention."
Article 111-4,/codes/article_lc/LEGIARTI000006417178,La loi pénale est d'interprétation stricte.
Article 111-5,/codes/article_lc/LEGIARTI000006417179,"Les juridictions pénales sont compétentes pour interpréter les actes administratifs, réglementaires ou individuels et pour en apprécier la légalité lorsque, de cet examen, dépend la solution du procès pénal qui leur est soumis."
Article 112-1,/codes/article_lc/LEGIARTI000006417180,"Sont seuls punissables les faits constitutifs d'une infraction à la date à laquelle ils ont été commis.
   Peuvent seules être prononcées les peines légalement applicables à la même date.
   Toutefois, les dispositions nouvelles s'appliquent aux infractions commises avant leur entrée en vigueur et n'ayant pas donné lieu à une condamnation passée en force de chose jugée lorsqu'elles sont moins sévères que les dispositions anciennes."
Article 112-2,/codes/article_lc/LEGIARTI000006417182,"Sont applicables immédiatement à la répression des infractions commises avant leur entrée en vigueur :
   1° Les lois de compétence et d'organisation judiciaire, tant qu'un jugement au fond n'a pas été rendu en première instance ;
   2° Les lois fixant les modalités des poursuites et les formes de la procédure ;
   3° Les lois relatives au régime d'exécution et d'application des peines ; toutefois, ces lois, lorsqu'elles auraient pour résultat de rendre plus sévères les peines prononcées par la décision de condamnation, ne sont applicables qu'aux condamnations prononcées pour des faits commis postérieurement à leur entrée en vigueur ;
   4° Lorsque les prescriptions ne sont pas acquises, les lois relatives à la prescription de l'action publique et à la prescription des peines."
Article 112-3,/codes/article_lc/LEGIARTI000006417183,Les lois relatives à la nature et aux cas d'ouverture des voies de recours ainsi qu'aux délais dans lesquels elles doivent être exercées et à la qualité des personnes admises à se pourvoir sont applicables aux recours formés contre les décisions prononcées après leur entrée en vigueur. Les recours sont soumis aux règles de forme en vigueur au jour où ils sont exercés.
Article 112-4,/codes/article_lc/LEGIARTI000006417184,"L'application immédiate de la loi nouvelle est sans effet sur la validité des actes accomplis conformément à la loi ancienne.
   Toutefois, la peine cesse de recevoir exécution quand elle a été prononcée pour un fait qui, en vertu d'une loi postérieure au jugement, n'a plus le caractère d'une infraction pénale."
Article 113-1,/codes/article_lc/LEGIARTI000006417186,"Pour l'application du présent chapitre, le territoire de la République inclut les espaces maritime et aérien qui lui sont liés."
Article 113-2,/codes/article_lc/LEGIARTI000006417187,"La loi pénale française est applicable aux infractions commises sur le territoire de la République.
   L'infraction est réputée commise sur le territoire de la République dès lors qu'un de ses faits constitutifs a eu lieu sur ce territoire."
Article 113-2-1,/codes/article_lc/LEGIARTI000032633762,"Tout crime ou tout délit réalisé au moyen d'un réseau de communication électronique, lorsqu'il est tenté ou commis au préjudice d'une personne physique résidant sur le territoire de la République ou d'une personne morale dont le siège se situe sur le territoire de la République, est réputé commis sur le territoire de la République."
Article 113-3,/codes/article_lc/LEGIARTI000024040262,"La loi pénale française est applicable aux infractions commises à bord des navires battant un pavillon français, ou à l'encontre  de tels navires ou des personnes se trouvant à bord, en quelque lieu qu'ils se trouvent. Elle est seule applicable aux infractions commises à bord des navires de la marine nationale, ou à l'encontre  de tels navires ou des personnes se trouvant à bord, en quelque lieu qu'ils se trouvent."
Article 113-4,/codes/article_lc/LEGIARTI000024040265,"La loi pénale française est applicable aux infractions commises à bord des aéronefs immatriculés en France, ou à l'encontre  de tels aéronefs ou des personnes se trouvant à bord, en quelque lieu qu'ils se trouvent. Elle est seule applicable aux infractions commises à bord des aéronefs militaires français, ou à l'encontre  de tels aéronefs ou des personnes se trouvant à bord, en quelque lieu qu'ils se trouvent."
Article 113-5,/codes/article_lc/LEGIARTI000042193622,"La loi pénale française est applicable à quiconque s'est rendu coupable sur le territoire de la République, comme complice, d'un crime ou d'un délit commis à l'étranger si le crime ou le délit est puni à la fois par la loi française et par la loi étrangère et s'il a été constaté par une décision définitive de la juridiction étrangère. 
Elle est également applicable aux actes de complicité prévus au second alinéa de l'article 121-7 commis sur le territoire de la République et concernant, lorsqu'ils sont commis à l'étranger, les crimes prévus au livre II."
Article 113-6,/codes/article_lc/LEGIARTI000021486425,"La loi pénale française est applicable à tout crime commis par un Français hors du territoire de la République. 

Elle est applicable aux délits commis par des Français hors du territoire de la République si les faits sont punis par la législation du pays où ils ont été commis. 

Elle est applicable aux infractions aux dispositions du règlement (CE) n° 561/2006 du Parlement européen et du Conseil du 15 mars 2006 relatif à l'harmonisation de certaines dispositions de la législation sociale dans le domaine des transports par route, commises dans un autre Etat membre de l'Union européenne et constatées en France, sous réserve des dispositions de l'article 692 du code de procédure pénale ou de la justification d'une sanction administrative qui a été exécutée ou ne peut plus être mise à exécution. 

Il est fait application du présent article lors même que le prévenu aurait acquis la nationalité française postérieurement au fait qui lui est imputé."
Article 113-7,/codes/article_lc/LEGIARTI000006417192,"La loi pénale française est applicable à tout crime, ainsi qu'à tout délit puni d'emprisonnement, commis par un Français ou par un étranger hors du territoire de la République lorsque la victime est de nationalité française au moment de l'infraction."
Article 113-8,/codes/article_lc/LEGIARTI000006417194,"Dans les cas prévus aux articles 113-6 et 113-7, la poursuite des délits ne peut être exercée qu'à la requête du ministère public. Elle doit être précédée d'une plainte de la victime ou de ses ayants droit ou d'une dénonciation officielle par l'autorité du pays où le fait a été commis."
Article 113-8-1,/codes/article_lc/LEGIARTI000042779166,"La plainte ou la dénonciation mentionnées à l'article 113-8 ne sont pas nécessaires lorsque la poursuite est exercée devant une juridiction pénale disposant, en application des dispositions du code de procédure pénale, d'une compétence territoriale concurrente et spécialisée s'étendant sur le ressort de plusieurs tribunaux judiciaires ou sur l'ensemble du territoire."
